host gpuhost015.jc.rl.ac.uk | CUDA ok | Sun  9 Aug 14:46:44 BST 2026
resume auto: fresh start
target=delta | pooled std 0.7407 | mean +0.0619 | E[target^2] train 0.5525 val 0.5604
  per shard: [+15min sd 0.5800 E[t^2] 0.3395, +30min sd 0.7073 E[t^2] 0.5038, +45min sd 0.7921 E[t^2] 0.6314, +60min sd 0.8546 E[t^2] 0.7352]
diagnostics: 64 fixed val crops (rows 0..53123)
device=cuda | R_phi 65.7M params | cond=full (20ch) -> 4ch | latent_scale=0.784
train rows 613892 | val rows 53124 | 9592 steps/epoch (batch 64)
data-path check: batch E[target^2] 0.3818 vs pack meta 0.5604 (ratio 0.681) | untrained MSE 0.3818 -> EV +0.0000 (must be ~0.000 on a fresh start)
  ep1 step 7800/9592 | mse 0.3263 (win 0.3066) | EV 0.409 (win 0.445) | lr 9.80e-05 | gn 0.50 | 325 img/s
  ep1 step 8000/9592 | mse 0.3258 (win 0.3058) | EV 0.410 (win 0.447) | lr 9.79e-05 | gn 0.49 | 325 img/s
  ep1 step 8200/9592 | mse 0.3253 (win 0.3049) | EV 0.411 (win 0.448) | lr 9.78e-05 | gn 0.49 | 325 img/s
  ep1 step 8400/9592 | mse 0.3247 (win 0.3019) | EV 0.412 (win 0.454) | lr 9.77e-05 | gn 0.49 | 325 img/s
  ep1 step 8600/9592 | mse 0.3242 (win 0.3037) | EV 0.413 (win 0.450) | lr 9.75e-05 | gn 0.48 | 325 img/s
  ep1 step 8800/9592 | mse 0.3238 (win 0.3050) | EV 0.414 (win 0.448) | lr 9.74e-05 | gn 0.48 | 325 img/s
  ep1 step 9000/9592 | mse 0.3233 (win 0.3024) | EV 0.415 (win 0.453) | lr 9.73e-05 | gn 0.48 | 325 img/s
  ep1 step 9200/9592 | mse 0.3229 (win 0.3025) | EV 0.416 (win 0.452) | lr 9.71e-05 | gn 0.48 | 325 img/s
  ep1 step 9400/9592 | mse 0.3225 (win 0.3033) | EV 0.416 (win 0.451) | lr 9.70e-05 | gn 0.47 | 325 img/s
epoch   1/8 | train mse 0.32210 (EV 0.4170) | val mse 0.30758 (EV 0.4511) | 1889s | 325 img/s | GPU 14.1 GB
  val EV per lead: +15min 0.4130, +30min 0.4431, +45min 0.4575, +60min 0.4682
  ABORT-B (PASS) after epoch 1: val EV 0.4511 against threshold 0.020
    vs ridge gate: +15min UNet 0.4130 vs ridge 0.2902 (PASS); +30min UNet 0.4431 vs ridge 0.3166 (PASS); +45min UNet 0.4575 vs ridge 0.3345 (PASS); +60min UNet 0.4682 vs ridge 0.3468 (PASS)
    A 65.7M-parameter nonlinear UNet that after a full epoch cannot beat a closed-form linear filter has a TRAINING problem, not a data problem.
  new best (val MSE 0.30758, EV 0.4511) -> reg_best.pt
  ep2 step 200/9592 | mse 0.3020 (win 0.3020) | EV 0.453 (win 0.453) | lr 9.67e-05 | gn 0.34 | 323 img/s
  ep2 step 400/9592 | mse 0.3027 (win 0.3033) | EV 0.452 (win 0.451) | lr 9.66e-05 | gn 0.33 | 325 img/s
  ep2 step 600/9592 | mse 0.3026 (win 0.3024) | EV 0.452 (win 0.453) | lr 9.64e-05 | gn 0.34 | 325 img/s
  ep2 step 800/9592 | mse 0.3022 (win 0.3009) | EV 0.453 (win 0.455) | lr 9.63e-05 | gn 0.34 | 325 img/s
  ep2 step 1000/9592 | mse 0.3020 (win 0.3014) | EV 0.453 (win 0.455) | lr 9.61e-05 | gn 0.34 | 325 img/s
  ep2 step 1200/9592 | mse 0.3021 (win 0.3023) | EV 0.453 (win 0.453) | lr 9.59e-05 | gn 0.34 | 325 img/s
  ep2 step 1400/9592 | mse 0.3019 (win 0.3012) | EV 0.453 (win 0.455) | lr 9.58e-05 | gn 0.34 | 325 img/s
  ep2 step 1600/9592 | mse 0.3019 (win 0.3013) | EV 0.454 (win 0.455) | lr 9.56e-05 | gn 0.34 | 325 img/s
  ep2 step 1800/9592 | mse 0.3018 (win 0.3017) | EV 0.454 (win 0.454) | lr 9.54e-05 | gn 0.34 | 325 img/s
  ep2 step 2000/9592 | mse 0.3019 (win 0.3024) | EV 0.454 (win 0.453) | lr 9.53e-05 | gn 0.34 | 325 img/s
  ep2 step 2200/9592 | mse 0.3017 (win 0.3001) | EV 0.454 (win 0.457) | lr 9.51e-05 | gn 0.33 | 325 img/s
  ep2 step 2400/9592 | mse 0.3015 (win 0.2993) | EV 0.454 (win 0.458) | lr 9.49e-05 | gn 0.33 | 325 img/s
  ep2 step 2600/9592 | mse 0.3015 (win 0.3016) | EV 0.454 (win 0.454) | lr 9.47e-05 | gn 0.33 | 325 img/s
